,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,english,portuguese,is_known
0,0,0,0,You,Você,0
1,1,1,1,I,Eu,0
2,2,2,2,The,O,0
3,3,3,3,To,Para,0
4,4,4,4,A,Um,0
5,5,5,5,'s,Seu,0
6,6,6,6,It,Ela,0
7,7,7,7,And,E,0
8,8,8,8,That,Isso,0
9,9,9,9,'t,Não,0
10,10,10,10,Of,De,0
11,11,11,11,Is,É,0
12,12,12,12,In,Em,0
13,13,13,13,What,Que,0
14,14,14,14,We,Nós,0
15,15,15,15,Me,Me,0
16,16,16,16,This,Este,0
17,17,17,17,He,Ele,0
18,18,18,18,For,Durante,0
19,19,19,19,My,Meu,0
20,20,20,20,On,Em,0
21,21,21,21,Have,Ter,0
22,22,22,22,Your,Teu,0
23,23,23,23,Do,Fazer,0
24,24,24,24,Was,Foi,0
25,25,25,25,'m,Estou,0
26,26,26,26,No,Não,0
27,27,27,27,Not,Não,0
28,28,28,28,Be,Ser,0
29,29,29,29,Are,Are,0
30,30,30,30,Don,Vestir,0
31,31,31,31,'re,Está,0
32,32,32,32,Know,Saber,0
33,33,33,33,Can,Poder,0
34,34,34,34,With,Com,0
35,35,35,35,But,Mas,0
36,36,36,36,All,Todo,0
37,37,37,37,So,Então,0
38,38,38,38,Just,Só,0
39,39,39,39,There,Ali,0
40,40,40,40,Here,Aqui,0
41,41,41,41,They,Eles,0
42,42,42,42,Like,Gostar,0
43,43,43,43,'ll,Vai,0
44,44,44,44,Get,Obter,0
45,45,45,45,She,Ela,0
46,46,46,46,Go,Ir,0
47,47,47,47,If,Se,0
48,48,48,48,Right,Certo,0
49,49,49,49,Out,Fora,0
50,50,50,50,About,Sobre,0
51,51,51,51,Up,Em Cima,1
52,52,52,52,At,Em,0
53,53,53,53,Him,Ele,0
54,54,54,54,Now,Agora,0
55,55,55,55,Oh,Ah,0
56,56,56,56,One,Um,0
57,57,57,57,Come,Vir,0
58,58,58,58,Well,Poço,0
59,59,59,59,Her,Dela,0
60,60,60,60,How,Como,0
61,61,61,61,Yeah,Sim,0
62,62,62,62,Will,Vontade,0
63,63,63,63,Got,Tem,0
64,64,64,64,Want,Querer,0
65,65,65,65,Think,Pensar,0
66,66,66,66,As,Como,0
67,67,67,67,See,Ver,0
68,68,68,68,Did,Fez,0
69,69,69,69,Good,Bom,0
70,70,70,70,Who,Quem,0
71,71,71,71,Why,Por Que,0
72,72,72,72,From,De,0
73,73,73,73,Let,Deixar,0
74,74,74,74,His,Dele,0
75,75,75,75,Yes,Sim,0
76,76,76,76,When,Quando,0
77,77,77,77,Going,Vai,0
78,78,78,78,Time,Hora,0
79,79,79,79,An,Ano,0
80,80,80,80,Okay,Okey,0
81,81,81,81,Back,Voltar,0
82,82,82,82,Look,Olhar,0
83,83,83,83,Us,Nos,0
84,84,84,84,Would,Seria,0
85,85,85,85,Them,Eles,0
86,86,86,86,Where,Onde,0
87,87,87,87,Were,Estava,0
88,88,88,88,Take,Tomar,0
89,89,89,89,Then,Então,0
90,90,90,90,Had,Tinha,0
91,91,91,91,Or,Ou,0
92,92,92,92,Been,Sido,0
93,93,93,93,Our,Nosso,0
94,94,94,94,Gonna,Indo Para,0
95,95,95,95,Tell,Contar,0
96,96,96,96,Really,Realmente,0
97,97,97,97,Man,Homem,0
98,98,98,98,Some,Alguns,0
99,99,99,99,Say,Dizer,0
100,100,100,100,Hey,Ei,0
101,101,101,101,Could,Poderia,0
102,102,102,102,Didn,Não,0
103,103,103,103,By,Por,0
104,104,104,104,Need,Precisar,0
105,105,105,105,Something,Algo,0
106,106,106,106,Has,Tem,0
107,107,107,107,Too,Também,0
108,108,108,108,More,Mais,0
109,109,109,109,Way,Caminho,0
110,110,110,110,Down,Abaixo,0
111,111,111,111,Make,Fazer,0
112,112,112,112,Very,Muito,0
113,113,113,113,Never,Nunca,0
114,114,114,114,Only,Somente,0
115,115,115,115,People,Povo,0
116,116,116,116,Over,Sobre,0
117,117,117,117,Because,Porque,0
118,118,118,118,Little,Pouco,0
119,119,119,119,Please,Por Favor,0
120,120,120,120,Love,Amor,0
121,121,121,121,Should,Se,0
122,122,122,122,Mean,Significar,0
123,123,123,123,Said,Dito,0
124,124,124,124,Sorry,Desculpa,0
125,125,125,125,Give,Dar,0
126,126,126,126,Off,Desligado,0
127,127,127,127,Am,Sou,0
128,128,128,128,Thank,Agradecer;,0
129,129,129,129,Any,Qualquer,0
130,130,130,130,Two,Dois,0
131,131,131,131,Even,Mesmo,0
132,132,132,132,Much,Muito,0
133,133,133,133,Doing,Fazendo,0
134,134,134,134,Sure,Certo,0
135,135,135,135,Thing,Coisa,0
136,136,136,136,These,Estes,0
137,137,137,137,Help,Ajuda,0
138,138,138,138,First,Primeiro,0
139,139,139,139,Into,Em,0
140,140,140,140,Anything,Qualquer Coisa,0
141,141,141,141,Still,Ainda,0
142,142,142,142,Find,Encontrar,0
143,143,143,143,Life,Vida,0
144,144,144,144,Nothing,Nada,0
145,145,145,145,Sir,Senhor,0
146,146,146,146,Day,Dia,0
147,147,147,147,God,Deus,0
148,148,148,148,Work,Trabalho,0
149,149,149,149,Their,Seu,0
150,150,150,150,Uh,Uh,0
151,151,151,151,Again,Outra Vez,0
152,152,152,152,Maybe,Talvez,0
153,153,153,153,Must,Dever,0
154,154,154,154,Before,Antes,0
155,155,155,155,Other,Outro,0
156,156,156,156,Wait,Esperar,0
157,157,157,157,Stop,Parar,1
158,158,158,158,Call,Chamar,0
159,159,159,159,After,Depois,0
160,160,160,160,Won,Ganhou,0
161,161,161,161,Talk,Falar,0
162,162,162,162,Away,Fora,0
163,163,163,163,Than,Que,0
164,164,164,164,Thought,Pensamento,0
165,165,165,165,Home,Casa,1
166,166,166,166,Night,Noite,0
167,167,167,167,Put,Pôr,0
168,168,168,168,Great,Legal,0
169,169,169,169,Those,Aqueles,0
170,170,170,170,Last,Último,0
171,171,171,171,Better,Melhor,0
172,172,172,172,Everything,Tudo,0
173,173,173,173,Told,Disse,0
174,174,174,174,Mr.,Sr.,0
175,175,175,175,New,Novo,0
176,176,176,176,Things,Coisas,0
177,177,177,177,Always,Sempre,0
178,178,178,178,Keep,Guardar,0
179,179,179,179,Long,Longas,0
180,180,180,180,Years,Anos,0
181,181,181,181,Leave,Deixar,0
182,182,182,182,Does,Faz,0
183,183,183,183,Money,Dinheiro,0
184,184,184,184,Around,Ao Redor,0
185,185,185,185,Doesn,Não,0
186,186,186,186,Name,Nome,0
187,187,187,187,Place,Lugar,0
188,188,188,188,Ever,Alguma Vez,0
189,189,189,189,Feel,Sentir,0
190,190,190,190,Guys,Galera,0
191,191,191,191,Father,Pai,0
192,192,192,192,Guy,Cara,0
193,193,193,193,Made,Feito,0
194,194,194,194,Old,Velho,0
195,195,195,195,Isn,Isn,0
196,196,196,196,Which,Qual,0
197,197,197,197,Big,Grande,0
198,198,198,198,Lot,Lote,0
199,199,199,199,Done,Terminado,0
200,200,200,200,Hello,Olá,0
201,201,201,201,Nice,Simpático,0
202,202,202,202,Believe,Crer,0
203,203,203,203,Girl,Garota,0
204,204,204,204,Someone,Alguém,0
205,205,205,205,Fine,Multa,0
206,206,206,206,Thanks,Obrigado,0
207,207,207,207,Wanted,Procurado,0
208,208,208,208,Kind,Tipo,0
209,209,209,209,Coming,Vinda,0
210,210,210,210,House,Casa,0
211,211,211,211,Every,Cada,0
212,212,212,212,Ok,Okey,0
213,213,213,213,Through,Através,0
214,214,214,214,Being,Ser,0
215,215,215,215,Course,Curso,0
216,216,216,216,Stay,Ficar,0
217,217,217,217,Left,Esquerda,0
218,218,218,218,Dad,Papai,0
219,219,219,219,Enough,Suficiente,0
220,220,220,220,Happened,Aconteceu,0
221,221,221,221,Came,Veio,0
222,222,222,222,May,Maio,0
223,223,223,223,Mother,Mãe,0
224,224,224,224,Wrong,Errado,0
225,225,225,225,World,Mundo,0
226,226,226,226,Bad,Mau,0
227,227,227,227,Might,Força,0
228,228,228,228,Three,Três,0
229,229,229,229,Today,Hoje,0
230,230,230,230,Listen,Escutar,0
231,231,231,231,Another,Outro,0
232,232,232,232,Understand,Compreender,0
233,233,233,233,Hear,Ouvir,1
234,234,234,234,Remember,Lembrar,0
235,235,235,235,Ask,Pedir,0
236,236,236,236,Own,Possuir,0
237,237,237,237,Same,Mesmo,0
238,238,238,238,Show,Programa,0
239,239,239,239,Else,Mais,0
240,240,240,240,Kill,Matar,0
241,241,241,241,Talking,Falação,0
242,242,242,242,Found,Fundar,0
243,243,243,243,Next,Próximo,0
244,244,244,244,Getting,Ficando,0
245,245,245,245,Care,Cuidado,0
246,246,246,246,Car,Carro,0
247,247,247,247,Looking,Olhando,0
248,248,248,248,Son,Filho,0
249,249,249,249,Try,Tentar,0
250,250,250,250,Woman,Mulher,0
251,251,251,251,Went,Foi,0
252,252,252,252,Hi,Oi,0
253,253,253,253,Dead,Morto,0
254,254,254,254,Many,Muito,0
255,255,255,255,Mind,Mente,0
256,256,256,256,Wasn,Não Estava,0
257,257,257,257,Friend,Amigo,0
258,258,258,258,Best,Melhor,0
259,259,259,259,Mom,Mamãe,0
260,260,260,260,Hell,Inferno,0
261,261,261,261,Morning,Manhã,0
262,262,262,262,Trying,Difícil,0
263,263,263,263,Boy,Menino,0
264,264,264,264,Together,Junto,0
265,265,265,265,Yourself,Se,0
266,266,266,266,Job,Trabalho,0
267,267,267,267,Saw,Serra,0
268,268,268,268,Family,Família,0
269,269,269,269,Real,Real,0
270,270,270,270,Without,Sem,0
271,271,271,271,Baby,Bebê,0
272,272,272,272,Room,Quarto,0
273,273,273,273,Wouldn,Não,0
274,274,274,274,Already,Já,0
275,275,275,275,Move,Mover,0
276,276,276,276,Most,Mais,0
277,277,277,277,Seen,Óbvio,0
278,278,278,278,Live,Viver,0
279,279,279,279,Miss,Errar,0
